team_id,event_id,tie_breaker,combined_score,season
59952,47235,16263691,172,154
111244,50146,29163081,483,173
26845,46222,15050907,120,154
71790,47166,15457229,360,154
19777,46433,15054335,120,154
144172,49836,27079127,260,173
117327,47517,15843731,101,154
101729,47303,14529445,103,154
79563,46753,15810655,48,155
81175,46359,14588685,40,154
64348,47046,14520871,60,154
50180,46433,15054345,61,154
137319,47552,15099441,80,154
75544,46955,16399713,52,155
128995,47463,15047769,120,154
112310,47461,14528551,180,154
58172,47046,14520887,0,154
100562,47102,14517383,140,154
116326,47102,14517389,120,154
131126,47102,14517391,120,154
137412,47102,14517395,100,154
86863,47102,14517399,40,154
115065,47047,14538811,53,155
128992,47398,15840553,140,154
66428,44781,15847027,300,154
133818,47062,14545255,18,155
118021,47062,14545257,16,155
94144,47826,25305089,196,173
118022,47062,14545265,10,155
132989,46950,16304993,200,154
113075,46582,15837755,69,155
105783,46562,16368803,180,154
131101,46819,15844995,329,154
134930,47451,14538365,72,155
120724,47062,14545277,4,155
25807,44781,15847067,160,154
136213,47517,15843739,90,154
89008,46816,14526017,100,154
137877,47281,14537833,60,154
62721,47235,16263693,143,154
119381,47166,15457233,260,154
120599,47141,16405043,12,155
27829,47166,15457241,151,154
27826,47166,15457245,120,154
108654,44781,15847117,80,154
100807,47166,15457255,60,154
59953,47235,16263705,80,154
48266,45861,15831703,140,154
71791,47166,15457235,221,154
85244,46762,16399701,27,155
125700,46535,14540013,40,154
68135,47283,14580357,141,154
129639,47283,14580359,140,154
129634,47283,14580363,140,154
130697,47283,14580365,120,154
137140,47283,14580367,120,154
136259,47517,15843751,60,154
136052,47141,16405045,11,155
91293,46753,15810661,43,155
87100,47303,14529461,0,154
120730,47141,16405047,11,155
112576,47314,14588547,160,154
75117,47380,15484851,42,155
137491,47380,15484863,25,155
137489,47380,15484867,16,155
135434,47380,15484871,14,155
135435,47380,15484873,11,155
137490,47380,15484875,9,155
137492,47380,15484877,8,155
120717,47141,16405049,11,155
137389,47364,14580617,60,154
79036,46753,15810669,35,155
134593,47376,14535509,314,156
74120,46753,15810683,30,155
133712,47497,14588171,33,155
126437,47141,16405051,10,155
85295,46753,15810685,30,155
85020,47415,14394767,52,155
85013,47415,14394775,40,155
117923,47415,14394785,28,155
117726,47415,14394793,12,155
97546,47439,14537657,160,154
97547,47439,14537665,100,154
56982,47439,14537667,80,154
106237,47447,14247217,15,155
106238,47447,14247219,15,155
135556,47447,14247223,6,155
80206,46753,15810697,25,155
127236,47141,16405053,10,155
77234,46753,15810699,22,155
120531,47141,16405055,9,155
116174,47141,16405057,8,155
114542,45434,17404227,144,154
131736,45986,15844675,160,156
131038,47001,14537681,120,154
133914,45455,22423645,193,155
74569,47001,14537691,70,154
67105,47001,14537693,60,154
88117,47001,14537695,40,154
101961,47001,14537697,40,154
88115,47001,14537701,20,154
67104,47001,14537703,20,154
137853,45967,16540383,39,155
122406,45447,13443909,16,155
103566,45447,13443923,10,155
110135,46986,14457869,9,155
137862,47366,15488951,56,155
137851,45967,16540387,39,155
137857,45967,16540389,38,155
132727,47228,14538867,14,155
132726,47228,14538869,13,155
135857,47228,14538871,10,155
104278,45967,16540391,37,155
64604,47224,14994733,39,155
113433,47224,14994763,18,155
137850,45967,16540393,36,155
110491,47091,15156319,114,155
119028,45967,16540395,28,155
137855,45967,16540397,23,155
106043,47228,14538861,32,155
120632,47141,16405061,8,155
120802,47141,16405063,8,155
135058,47141,16405065,7,155
116187,47141,16405067,5,155
120801,47141,16405069,4,155
136352,47141,16405071,4,155
136351,47141,16405073,4,155
137129,47141,16405075,2,155
120608,47141,16405077,2,155
120607,47141,16405079,2,155
136199,47141,16405081,0,155
137865,45967,16540399,21,155
87619,46639,13181231,226,154
110127,44829,11848485,217,154
60849,44620,16439585,70,154
127756,47376,14535511,250,156
112967,45967,16540401,15,155
118709,44657,16482923,250,154
114946,47523,16404911,212,154
126765,47566,16482479,49,155
126734,47566,16482485,45,155
138171,47566,16482489,44,155
126700,47566,16482491,44,155
110387,47566,16482493,40,155
117361,47566,16482495,38,155
110376,47566,16482497,37,155
126744,47045,14103603,38,155
119439,47045,14103605,34,155
137530,47566,16482507,30,155
126779,47045,14103593,42,155
134094,50535,26806521,63,173
79779,47708,16509345,431,156
79780,47708,16509347,320,156
127785,45961,16534747,330,154
137829,45961,16534749,170,154
137828,45961,16534751,140,154
137826,45961,16534753,140,154
137827,45961,16534755,120,154
104384,45967,16540353,103,155
104381,45967,16540361,81,155
137861,45967,16540363,72,155
137852,45967,16540365,67,155
137848,45967,16540367,66,155
137856,45967,16540369,62,155
137847,45967,16540371,61,155
137860,45967,16540373,61,155
137854,45967,16540375,50,155
137863,45967,16540377,47,155
137849,45967,16540379,45,155
119662,45967,16540381,45,155
77772,46233,16515107,102,154
135334,46570,14119805,180,154
128818,44895,13768261,80,154
114052,46543,15935255,63,155
102132,46236,16534371,41,155
111091,46236,16534381,38,155
124204,47453,15914735,47,155
64773,47453,15914737,37,155
103622,45810,13829399,44,155
90914,46236,16534401,30,155
103623,45810,13829397,61,155
118943,47612,16404773,31,155
107890,46135,12288551,18,155
125515,45462,17404515,120,154
112554,45513,14029963,120,154
97541,47575,16369429,120,154
131832,45462,17404559,60,154
132517,45462,17404567,40,154
122656,45462,17404569,40,154
132519,45462,17404573,20,154
117790,47644,22424999,261,154
112041,47644,22425001,230,154
129327,47644,22425005,103,154
84846,47646,22424827,148,156
70015,47646,22424829,65,156
128287,47643,22424917,224,155
134748,47643,22424927,162,155
134747,47643,22424931,147,155
95078,47643,22424935,139,155
125754,47643,22424939,110,155
117515,47643,22424947,93,155
125745,47643,22424949,82,155
117514,47643,22424953,77,155
132721,47643,22424955,67,155
133933,47643,22424957,65,155
125755,47643,22424961,41,155
101963,45433,17402791,491,156
22168,45551,15969589,458,156
90205,45433,17402803,380,156
20788,45433,17402809,361,156
55726,45433,17402811,323,156
126341,45433,17402813,300,156
129604,46165,14103969,390,156
122185,46387,14510499,389,156
65152,45433,17402827,222,156
137639,45551,15969593,363,156
104649,45433,17402837,160,156
63985,45434,17404397,80,154
67377,45986,15844669,260,156
106795,46651,16379409,241,156
76488,46651,16379415,211,156
108760,45455,22423639,228,155
117034,45455,22423651,180,155
117035,45455,22423703,131,155
107186,45455,22423721,118,155
77225,45455,22423731,114,155
124597,45455,22423737,114,155
85921,45830,16293315,120,155
106835,47091,15156317,212,155
114697,45459,20976857,89,155
107222,47091,15156321,99,155
139936,49496,26698097,32,174
119056,45459,20977163,65,155
66443,49713,27267243,55,173
148814,47947,24686207,18,174
82111,47826,25305117,48,173
71042,48391,29082049,240,174
98689,46741,16365811,79,155
129177,47146,14588595,47,155
99766,46814,12835117,28,155
125787,46567,14557095,24,155
128296,46567,14557097,24,155
86882,46567,14557099,17,155
88676,46567,14557101,10,155
135156,46567,14557103,10,155
101862,47145,13475233,12,155
102204,46741,16365817,74,155
91749,47424,15138737,30,155
130821,46984,14570379,100,154
125535,46984,14570381,100,154
57129,46984,14570383,80,154
57471,46984,14570385,80,154
130818,47089,15452767,170,154
58809,49788,23566323,248,174
57603,46984,14570393,20,154
57470,45732,15099787,100,154
63201,47214,14580229,80,154
108105,46830,15837511,258,155
125307,47214,14580237,60,154
113208,47214,14580241,60,154
91754,47544,15483323,40,155
122073,48183,23566271,322,174
57878,47514,16140225,92,155
113104,46582,15837749,82,155
6296,45258,18323409,461,154
98675,46741,16365821,68,155
148815,48638,25701611,9,174
56124,47836,22425219,9,174
65716,47974,24665485,0,173
117131,46741,16365839,47,155
102205,46852,14572193,55,155
57880,47514,16140227,90,155
58810,49788,23566327,147,174
64469,47115,14551993,90,155
88297,46741,16365841,45,155
129174,47146,14588615,21,155
59565,47408,16363217,310,156
96451,47924,29094145,459,173
136472,46852,14572191,63,155
98624,48374,28126517,604,173
142586,48408,27643255,274,173
132095,47642,22424841,186,155
77724,47843,23268767,10,174
130065,46818,14574889,298,156
57894,47115,14551991,90,155
65965,50915,26929943,100,173
134749,47642,22424851,157,155
64475,47514,16140239,80,155
64472,47514,16140243,72,155
128681,47642,22424859,141,155
88434,46852,14572209,27,155
