id,event_id,title
77838,35629,Think Award (VRC/VEXU/VAIC)
77839,35629,Judges Award (VRC/VEXU/VAIC/ADC)
77840,35629,Tournament Finalists (VRC/VEXU/VAIC)
77841,35629,Robot Skills Champion (VRC/VEXU)
77842,35629,Robot Skills 2nd Place (VRC/VEXU)
77843,35629,Excellence Award - Middle School (VRC)
77844,35629,Tournament Semifinalists (VRC/VEXU/VAIC)
75076,35084,Excellence Award (VRC/VEXU/VAIC)
75077,35084,Tournament Champions (VRC/VEXU/VAIC)
75078,35084,Design Award (VRC/VEXU/VAIC)
75079,35084,Judges Award (VRC/VEXU/VAIC/ADC)
75080,35084,Robot Skills Champion (VRC/VEXU)
84589,35084,Tournament Finalists (VRC/VEXU/VAIC)
76685,35425,Tournament Champions (VRC/VEXU/VAIC)
99586,35425,Robot Skills Champion (VRC/VEXU)
99587,35425,Excellence Award (VRC/VEXU/VAIC)
99588,35425,Design Award (VRC/VEXU/VAIC)
99589,35425,Build Award (VRC/VEXU/VAIC)
99590,35425,Think Award (VRC/VEXU/VAIC)
75813,35199,Excellence Award (VRC/VEXU/VAIC)
75814,35199,Tournament Champions (VRC/VEXU/VAIC)
75819,35199,Design Award (VRC/VEXU/VAIC)
75820,35199,Judges Award (VRC/VEXU/VAIC/ADC)
75821,35199,Robot Skills Champion (VRC/VEXU)
83401,35199,Create Award (VRC/VEXU/VAIC)
77287,35551,Tournament Champions (VRC/VEXU/VAIC)
77288,35551,Design Award (VRC/VEXU/VAIC)
77289,35551,Tournament Finalists (VRC/VEXU/VAIC)
77290,35551,Robot Skills Champion (VRC/VEXU)
77312,35551,Excellence Award (VRC/VEXU/VAIC)
96602,35551,Innovate Award (VRC/VEXU/VAIC)
96603,35551,Create Award (VRC/VEXU/VAIC)
96604,35551,Amaze Award (VRC/VEXU/VAIC)
96605,35551,Build Award (VRC/VEXU/VAIC)
96606,35551,Future Award (VRC/VEXU)
96607,35551,Think Award (VRC/VEXU/VAIC)
96608,35551,Judges Award (VRC/VEXU/VAIC/ADC)
96609,35551,Volunteer of the Year Award (VRC/VEXU/VAIC)
96611,35551,Energy Award (VRC/VEXU/VAIC)
96612,35551,Robot Skills 2nd Place (VRC/VEXU)
96613,35551,Sportsmanship Award (VRC/VEXU/VAIC)
96614,35551,Educate Award (VRC/VEXU)
96615,35551,Teamwork Award (VRC/VEXU)
96616,35551,Partner of the Year Award
82485,36347,Tournament Champions (VRC/VEXU/VAIC)
82486,36347,Design Award (VRC/VEXU/VAIC)
77455,35588,Excellence Award (VRC/VEXU/VAIC)
77456,35588,Tournament Champions (VRC/VEXU/VAIC)
77457,35588,Innovate Award (VRC/VEXU/VAIC)
77458,35588,Create Award (VRC/VEXU/VAIC)
77459,35588,Amaze Award (VRC/VEXU/VAIC)
77460,35588,Build Award (VRC/VEXU/VAIC)
77461,35588,Design Award (VRC/VEXU/VAIC)
77464,35588,Judges Award (VRC/VEXU/VAIC/ADC)
77465,35588,Tournament Finalists (VRC/VEXU/VAIC)
77466,35588,Robot Skills Champion (VRC/VEXU)
77467,35588,Robot Skills 2nd Place (VRC/VEXU)
77468,35588,Tournament Semifinalists (VRC/VEXU/VAIC)
75364,35108,Tournament Champions (VRC/VEXU/VAIC)
75365,35108,Create Award (VRC/VEXU/VAIC)
75366,35108,Amaze Award (VRC/VEXU/VAIC)
75367,35108,Build Award (VRC/VEXU/VAIC)
75369,35108,Think Award (VRC/VEXU/VAIC)
75370,35108,Judges Award (VRC/VEXU/VAIC/ADC)
75371,35108,Tournament Finalists (VRC/VEXU/VAIC)
75372,35108,Robot Skills Champion (VRC/VEXU)
75373,35108,Sportsmanship Award (VRC/VEXU/VAIC)
97509,35108,Excellence Award (VRC/VEXU/VAIC)
97510,35108,Design Award (VRC/VEXU/VAIC)
83466,36486,Excellence Award (VRC/VEXU/VAIC)
83467,36486,Tournament Champions (VRC/VEXU/VAIC)
83468,36486,Design Award (VRC/VEXU/VAIC)
83469,36486,Judges Award (VRC/VEXU/VAIC/ADC)
83470,36486,Volunteer of the Year Award (VRC/VEXU/VAIC)
83471,36486,Robot Skills Champion (VRC/VEXU)
75376,35109,Tournament Champions (VRC/VEXU/VAIC)
75377,35109,Create Award (VRC/VEXU/VAIC)
75378,35109,Amaze Award (VRC/VEXU/VAIC)
75379,35109,Build Award (VRC/VEXU/VAIC)
75380,35109,Design Award (VRC/VEXU/VAIC)
75381,35109,Think Award (VRC/VEXU/VAIC)
75382,35109,Judges Award (VRC/VEXU/VAIC/ADC)
75383,35109,Tournament Finalists (VRC/VEXU/VAIC)
75384,35109,Robot Skills Champion (VRC/VEXU)
75385,35109,Sportsmanship Award (VRC/VEXU/VAIC)
95276,35109,Excellence Award (VRC/VEXU/VAIC)
75994,35225,Excellence Award (VRC/VEXU/VAIC)
75995,35225,Tournament Champions (VRC/VEXU/VAIC)
75996,35225,Design Award (VRC/VEXU/VAIC)
75997,35225,Judges Award (VRC/VEXU/VAIC/ADC)
75998,35225,Robot Skills Champion (VRC/VEXU)
84802,36653,Tournament Champions (VRC/VEXU/VAIC)
88128,36653,Excellence Award (VRC/VEXU/VAIC)
88129,36653,Design Award (VRC/VEXU/VAIC)
88130,36653,Judges Award (VRC/VEXU/VAIC/ADC)
88131,36653,Volunteer of the Year Award (VRC/VEXU/VAIC)
75316,35123,Excellence Award (VRC/VEXU/VAIC)
75317,35123,Tournament Champions (VRC/VEXU/VAIC)
75318,35123,Design Award (VRC/VEXU/VAIC)
75319,35123,Tournament Finalists (VRC/VEXU/VAIC)
75320,35123,Robot Skills Champion (VRC/VEXU)
91124,35123,Create Award (VRC/VEXU/VAIC)
95231,35123,Think Award (VRC/VEXU/VAIC)
96751,35123,Judges Award (VRC/VEXU/VAIC/ADC)
82049,36293,Tournament Champions (VRC/VEXU/VAIC)
82050,36293,Design Award (VRC/VEXU/VAIC)
82051,36293,Judges Award (VRC/VEXU/VAIC/ADC)
88035,36293,Excellence Award (VRC/VEXU/VAIC)
75983,35218,Tournament Champions (VRC/VEXU/VAIC)
75984,35218,Design Award (VRC/VEXU/VAIC)
75985,35218,Judges Award (VRC/VEXU/VAIC/ADC)
75986,35218,Robot Skills Champion (VRC/VEXU)
83640,35218,Excellence Award - High School (VRC)
83641,35218,Excellence Award - Middle School (VRC)
82545,36358,Excellence Award (VRC/VEXU/VAIC)
82546,36358,Tournament Champions (VRC/VEXU/VAIC)
82547,36358,Amaze Award (VRC/VEXU/VAIC)
82548,36358,Build Award (VRC/VEXU/VAIC)
82549,36358,Design Award (VRC/VEXU/VAIC)
82550,36358,Think Award (VRC/VEXU/VAIC)
82551,36358,Judges Award (VRC/VEXU/VAIC/ADC)
82552,36358,Volunteer of the Year Award (VRC/VEXU/VAIC)
80900,36120,Design Award (VRC/VEXU/VAIC)
80902,36120,Tournament Champions (VRC/VEXU/VAIC)
77845,35630,Tournament Champions (VRC/VEXU/VAIC)
77846,35630,Innovate Award (VRC/VEXU/VAIC)
77847,35630,Create Award (VRC/VEXU/VAIC)
77848,35630,Amaze Award (VRC/VEXU/VAIC)
77849,35630,Build Award (VRC/VEXU/VAIC)
77850,35630,Design Award (VRC/VEXU/VAIC)
77851,35630,Future Award (VRC/VEXU)
77852,35630,Think Award (VRC/VEXU/VAIC)
77853,35630,Judges Award (VRC/VEXU/VAIC/ADC)
77854,35630,Tournament Finalists (VRC/VEXU/VAIC)
77855,35630,Robot Skills Champion (VRC/VEXU)
77856,35630,Robot Skills 2nd Place (VRC/VEXU)
77858,35630,Tournament Semifinalists (VRC/VEXU/VAIC)
77875,35630,Excellence Award - High School (VRC)
78551,35759,Tournament Champions (VRC/VEXU/VAIC)
78552,35759,Tournament Finalists (VRC/VEXU/VAIC)
78553,35759,Robot Skills Champion (VRC/VEXU)
83472,36487,Excellence Award (VRC/VEXU/VAIC)
83473,36487,Tournament Champions (VRC/VEXU/VAIC)
83474,36487,Design Award (VRC/VEXU/VAIC)
83475,36487,Judges Award (VRC/VEXU/VAIC/ADC)
83476,36487,Robot Skills Champion (VRC/VEXU)
76270,35027,Excellence Award (VRC/VEXU/VAIC)
76271,35027,Tournament Champions (VRC/VEXU/VAIC)
76272,35027,Design Award (VRC/VEXU/VAIC)
76273,35027,Robot Skills Champion (VRC/VEXU)
76350,35027,Judges Award (VRC/VEXU/VAIC/ADC)
87223,35328,Excellence Award (VRC/VEXU/VAIC)
87224,35328,Tournament Champions (VRC/VEXU/VAIC)
87225,35328,Design Award (VRC/VEXU/VAIC)
77165,35529,Excellence Award (VRC/VEXU/VAIC)
77166,35529,Tournament Champions (VRC/VEXU/VAIC)
77167,35529,Innovate Award (VRC/VEXU/VAIC)
77168,35529,Create Award (VRC/VEXU/VAIC)
77169,35529,Amaze Award (VRC/VEXU/VAIC)
77170,35529,Build Award (VRC/VEXU/VAIC)
77171,35529,Design Award (VRC/VEXU/VAIC)
77172,35529,Think Award (VRC/VEXU/VAIC)
